id,name,settlement_type,megye,jaras,terulet_hektar,population,lakasok_szama,latitude,longitude,climate_zone,data_source,created_at,updated_at,region_priority
17,"Acsád","község",Vas,Szombathelyi,1434.0,603,189,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
18,Acsalag,"község","Győr-Moson-Sopron",Csornai,1042.0,471,223,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
19,"Ácsteszér","község","Komárom-Esztergom","Kisbéri",1771.0,667,239,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
20,"Adács","község",Heves,"Gyöngyösi",3794.0,2542,1193,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
21,"Ádánd","község",Somogy,"Siófoki",2952.0,2083,834,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
22,"Adásztevel","község","Veszprém","Pápai",837.0,760,320,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
23,Adony,"város","Fejér","Dunaújvárosi",6105.0,4031,1681,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
24,"Adorjánháza","község","Veszprém",Devecseri,1143.0,329,197,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
25,"Adorjás","község",Baranya,Sellyei,810.0,165,59,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
26,"Ág","község",Baranya,"Hegyháti",1203.0,156,66,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
27,"Ágasegyháza","község","Bács-Kiskun","Kecskeméti",5587.0,1875,891,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
28,"Ágfalva","község","Győr-Moson-Sopron",Soproni,1307.0,2404,865,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
29,Aggtelek,"község","Borsod-Abaúj-Zemplén",Putnoki,4382.0,451,241,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
30,"Agyagosszergény","község","Győr-Moson-Sopron","Kapuvári",1988.0,938,388,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
31,Ajak,"város","Szabolcs-Szatmár-Bereg","Kisvárdai",2476.0,3237,1288,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
32,Ajka,"város","Veszprém",Ajkai,9504.0,26408,12895,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",7
33,Aka,"község","Komárom-Esztergom","Kisbéri",1809.0,242,125,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
34,"Akasztó","község","Bács-Kiskun","Kiskőrösi",6488.0,3146,1533,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
35,Alacska,"község","Borsod-Abaúj-Zemplén",Kazincbarcikai,856.0,635,267,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
36,Alap,"község","Fejér","Sárbogárdi",4829.0,1860,848,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
37,"Alattyán","község","Jász-Nagykun-Szolnok","Jászapáti",3429.0,2096,884,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
38,Albertirsa,"város",Pest,"Ceglédi",7300.0,13724,5261,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",7
39,"Alcsútdoboz","község","Fejér",Bicskei,5071.0,1533,576,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
40,"Aldebrő","község",Heves,"Füzesabonyi",2178.0,680,347,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
41,"Algyő","nagyközség","Csongrád-Csanád",Szegedi,7577.0,5416,2089,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
42,"Alibánfa","község",Zala,Zalaegerszegi,584.0,436,171,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
43,"Almamellék","község",Baranya,"Szigetvári",4433.0,399,170,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
44,"Almásfüzitő","község","Komárom-Esztergom","Komáromi",818.0,2104,1119,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
45,"Almásháza","község",Zala,Zalaegerszegi,498.0,78,40,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
46,"Almáskamarás","község","Békés","Mezőkovácsházai",1471.0,668,422,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
47,"Almáskeresztúr","község",Baranya,"Szigetvári",1303.0,86,51,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
48,"Álmosd","község","Hajdú-Bihar","Nyíradonyi",3413.0,1610,675,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
49,"Alsóberecki","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi",686.0,650,280,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
50,"Alsóbogát","község",Somogy,"Kaposvári",1201.0,227,98,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
51,"Alsódobsza","község","Borsod-Abaúj-Zemplén",Szerencsi,1068.0,287,137,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
52,"Alsógagy","község","Borsod-Abaúj-Zemplén",Encsi,628.0,89,51,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
53,"Alsómocsolád","község",Baranya,"Hegyháti",1300.0,257,134,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
54,"Alsónána","község",Tolna,"Szekszárdi",1314.0,648,281,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
55,"Alsónémedi","nagyközség",Pest,"Gyáli",4907.0,5582,2183,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
56,"Alsónemesapáti","község",Zala,Zalaegerszegi,1451.0,665,274,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
57,"Alsónyék","község",Tolna,"Szekszárdi",3201.0,652,301,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
58,"Alsóörs","község","Veszprém","Balatonfüredi",3334.0,1903,1018,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
59,"Alsópáhok","község",Zala,Keszthelyi,1802.0,1443,852,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
60,"Alsópetény","község","Nógrád","Rétsági",1968.0,564,304,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
61,"Alsórajk","község",Zala,Nagykanizsai,845.0,326,165,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
62,"Alsóregmec","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi",1540.0,194,88,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
63,"Alsószenterzsébet","község",Zala,Lenti,963.0,48,39,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
64,"Alsószentiván","község","Fejér","Sárbogárdi",3965.0,533,281,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
65,"Alsószentmárton","község",Baranya,"Siklósi",1361.0,1198,293,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
66,"Alsószölnök","község",Vas,"Szentgotthárdi",1002.0,342,172,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
67,"Alsószuha","község","Borsod-Abaúj-Zemplén",Putnoki,2242.0,379,165,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
68,"Alsótelekes","község","Borsod-Abaúj-Zemplén",Kazincbarcikai,644.0,113,93,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
69,"Alsótold","község","Nógrád","Pásztói",786.0,232,114,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
70,"Alsóújlak","község",Vas,"Vasvári",2102.0,538,283,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
71,"Alsóvadász","község","Borsod-Abaúj-Zemplén","Szikszói",2290.0,1543,439,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
72,"Alsózsolca","város","Borsod-Abaúj-Zemplén",Miskolci,2602.0,5502,1877,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
73,"Ambrózfalva","község","Csongrád-Csanád","Makói",1122.0,415,241,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
74,Anarcs,"község","Szabolcs-Szatmár-Bereg","Kisvárdai",1706.0,1811,639,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
75,Andocs,"község",Somogy,Tabi,4327.0,948,457,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
76,"Andornaktálya","község",Heves,Egri,1675.0,2603,1053,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
77,"Andrásfa","község",Vas,"Vasvári",823.0,223,133,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
78,"Annavölgy","község","Komárom-Esztergom",Esztergomi,483.0,863,393,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
79,"Apácatorna","község","Veszprém",Devecseri,729.0,141,80,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
80,Apagy,"község","Szabolcs-Szatmár-Bereg","Nyíregyházi",3199.0,2192,853,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
81,Apaj,"község",Pest,"Ráckevei",7104.0,1095,428,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
82,Aparhant,"község",Tolna,"Bonyhádi",1797.0,910,385,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
83,"Apátfalva","község","Csongrád-Csanád","Makói",5384.0,2777,1509,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
84,"Apátistvánfalva","község",Vas,"Szentgotthárdi",1286.0,385,161,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
85,"Apátvarasd","község",Baranya,"Pécsváradi",814.0,116,40,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
86,Apc,"község",Heves,Hatvani,2046.0,2381,1087,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
87,"Áporka","község",Pest,"Ráckevei",1747.0,1260,530,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
88,Apostag,"község","Bács-Kiskun","Kunszentmiklósi",3194.0,2043,979,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
89,"Aranyosapáti","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi",2112.0,2024,640,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
90,"Aranyosgadány","község",Baranya,"Pécsi",826.0,321,137,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
91,Arka,"község","Borsod-Abaúj-Zemplén","Gönci",949.0,51,72,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
92,"Arló","nagyközség","Borsod-Abaúj-Zemplén","Ózdi",4687.0,3514,1120,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
93,"Arnót","község","Borsod-Abaúj-Zemplén",Miskolci,1754.0,2244,819,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
94,"Ároktő","község","Borsod-Abaúj-Zemplén","Mezőcsáti",4641.0,1017,452,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
95,"Árpádhalom","község","Csongrád-Csanád",Szentesi,4520.0,384,227,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
96,"Árpás","község","Győr-Moson-Sopron","Téti",1425.0,269,143,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
97,"Ártánd","község","Hajdú-Bihar","Berettyóújfalui",1981.0,500,234,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
98,"Ásotthalom","nagyközség","Csongrád-Csanád","Mórahalmi",12254.0,3682,1900,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
99,"Ásványráró","község","Győr-Moson-Sopron","Mosonmagyaróvári",3911.0,2165,895,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
100,"Aszaló","község","Borsod-Abaúj-Zemplén","Szikszói",2536.0,1872,620,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
101,"Ászár","község","Komárom-Esztergom","Kisbéri",1868.0,1401,673,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
102,"Aszód","város",Pest,"Aszódi",1620.0,6129,2645,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
103,"Aszófő","község","Veszprém","Balatonfüredi",832.0,482,202,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
104,"Áta","község",Baranya,"Pécsi",809.0,159,87,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
105,"Átány","község",Heves,Hevesi,5044.0,1440,517,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
106,"Atkár","község",Heves,"Gyöngyösi",3376.0,1748,741,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
107,Attala,"község",Tolna,"Dombóvári",2064.0,702,346,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
108,Babarc,"község",Baranya,"Bólyi",1885.0,661,310,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
109,"Babarcszőlős","község",Baranya,"Siklósi",425.0,92,60,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
110,"Babócsa","község",Somogy,Barcsi,3099.0,1344,685,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
111,"Bábolna","város","Komárom-Esztergom","Komáromi",3354.0,3397,1388,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
112,"Bábonymegyer","község",Somogy,Tabi,2193.0,779,341,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
113,"Babosdöbréte","község",Zala,Zalaegerszegi,1252.0,507,240,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
114,"Babót","község","Győr-Moson-Sopron","Kapuvári",2167.0,1066,490,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
115,"Bácsalmás","város","Bács-Kiskun","Bácsalmási",10829.0,6042,3109,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
116,"Bácsbokod","nagyközség","Bács-Kiskun","Bácsalmási",6393.0,2258,1176,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
117,"Bácsborsód","község","Bács-Kiskun","Bácsalmási",7752.0,1028,419,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
118,"Bácsszentgyörgy","község","Bács-Kiskun",Bajai,1474.0,125,86,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
119,"Bácsszőlős","község","Bács-Kiskun","Bácsalmási",3883.0,297,211,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
120,Badacsonytomaj,"város","Veszprém",Tapolcai,3270.0,2149,1179,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
121,"Badacsonytördemic","község","Veszprém",Tapolcai,1025.0,873,503,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
122,Bag,"nagyközség",Pest,"Aszódi",2355.0,3682,1340,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
123,"Bagamér","nagyközség","Hajdú-Bihar","Nyíradonyi",4702.0,2350,936,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
124,Baglad,"község",Zala,Lenti,486.0,43,38,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
125,Bagod,"község",Zala,Zalaegerszegi,1637.0,1197,471,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
126,"Bágyogszovát","község","Győr-Moson-Sopron",Csornai,2406.0,1272,553,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
127,Baj,"község","Komárom-Esztergom",Tatai,2112.0,2892,1672,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
128,Baja,"megyei jogú város","Bács-Kiskun",Bajai,17789.0,32759,17296,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",8
129,"Bajánsenye","község",Vas,"Körmendi",2185.0,472,244,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
130,Bajna,"község","Komárom-Esztergom",Esztergomi,3726.0,1833,782,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
131,"Bajót","község","Komárom-Esztergom",Esztergomi,1643.0,1617,551,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
132,Bak,"község",Zala,Zalaegerszegi,2305.0,1515,579,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
133,"Bakháza","község",Somogy,"Nagyatádi",592.0,160,80,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
134,"Bakóca","község",Baranya,"Hegyháti",1065.0,262,134,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
135,Bakonszeg,"község","Hajdú-Bihar","Berettyóújfalui",3503.0,1082,596,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
136,Bakonya,"község",Baranya,"Pécsi",1507.0,342,138,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
137,"Bakonybánk","község","Komárom-Esztergom","Kisbéri",1506.0,380,202,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
138,"Bakonybél","község","Veszprém",Zirci,2436.0,1108,571,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
139,Bakonycsernye,"nagyközség","Fejér","Móri",3813.0,2946,1213,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",6
140,"Bakonygyirót","község","Győr-Moson-Sopron",Pannonhalmi,685.0,160,112,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
141,"Bakonyjákó","község","Veszprém","Pápai",4716.0,665,280,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
142,"Bakonykoppány","község","Veszprém","Pápai",683.0,175,117,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
143,"Bakonykúti","község","Fejér","Székesfehérvári",1245.0,154,90,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
144,"Bakonynána","község","Veszprém",Zirci,1493.0,916,368,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
145,Bakonyoszlop,"község","Veszprém",Zirci,1420.0,439,208,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
146,"Bakonypéterd","község","Győr-Moson-Sopron",Pannonhalmi,1002.0,287,129,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
147,"Bakonypölöske","község","Veszprém","Pápai",1104.0,390,160,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
148,"Bakonyság","község","Veszprém","Pápai",857.0,55,56,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
149,"Bakonysárkány","község","Komárom-Esztergom","Kisbéri",1412.0,949,390,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
150,"Bakonyszentiván","község","Veszprém","Pápai",914.0,215,99,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
151,"Bakonyszentkirály","község","Veszprém",Zirci,2790.0,772,384,47.4979,19.0402,"Átmeneti",JSON_2024,"2025-07-24 14:34:07","2025-07-24 14:34:07",5
